Condition	Onset	Duration	Response	Error_onset	Error_duration
2	0.558606089451132	3.8000418735273342	nil	nil	nil
1	6.622904557501897	3.8000989349657175	nil	nil	nil
3	10.687998760907249	3.8000171367775692	nil	nil	nil
4	18.751543180665067	3.800148008466749	nil	nil	nil
1	22.81661269243341	3.8000829741240523	nil	nil	nil
1	28.88094171676039	3.8001372415892547	nil	nil	nil
4	36.94447610948828	3.800108796584027	nil	nil	nil
1	43.00878126322823	3.8000327186737195	nil	nil	nil
1	49.0731058244146	3.8000966432455243	nil	nil	nil
4	55.13740078571118	3.80011519656	nil	nil	nil
2	61.20171844466768	3.8001794429346774	nil	nil	nil
1	67.26603065702784	3.8000235848739976	nil	nil	nil
2	71.3311229506653	3.800113725887968	nil	nil	nil
2	79.39466076292956	3.8000554073105377	nil	nil	nil
3	83.45974880094491	3.8001733407018037	nil	nil	nil
2	91.52329808384184	3.800057211814419	nil	nil	nil
1	97.58758041059991	3.800063714045791	nil	nil	nil
2	101.65267611775926	3.8000004721789082	nil	nil	nil
4	107.71698694065071	3.8001105048479076	nil	nil	nil
1	115.78053772730163	3.800150041541201	nil	nil	nil
2	123.84406655012572	3.8000570854992475	nil	nil	nil
4	129.90838041962252	3.8000517682266945	nil	nil	nil
3	137.97191369355733	3.800045524641064	nil	nil	nil
3	144.03622762320447	3.800124982989473	nil	nil	nil
1	152.0997574956482	3.8001641106611714	nil	nil	nil
3	158.16407775309108	3.8000030285602406	nil	nil	nil
2	166.22761854579494	3.800091548528144	nil	nil	nil
3	170.29268831921672	3.800123340889513	nil	nil	nil
2	178.35624231788643	3.8000904086829905	nil	nil	nil
3	182.4213235619418	3.8001359874579066	nil	nil	nil
3	188.485639602859	3.800162706154879	nil	nil	nil
4	192.55072703034966	3.800083978630937	nil	nil	nil
1	200.614295816933	3.800073798219273	nil	nil	nil
4	208.6778025075091	3.8001601798487172	nil	nil	nil
4	216.74133373934728	3.800052017849339	nil	nil	nil
3	220.80641418340565	3.8000560900154596	nil	nil	nil
4	224.87150053420828	3.8000496058284625	nil	nil	nil
2	232.93502549840014	3.800110128909182	nil	nil	nil
4	237.00013320250673	3.8001706189079414	nil	nil	nil
3	245.0636621305939	3.8001003635326924	nil	nil	nil
1	253.127196511291	3.8000489622218083	nil	nil	nil
4	259.1915062063681	3.800048478014105	nil	nil	nil
1	263.2566089089896	3.800018863086734	nil	nil	nil
4	269.32090499509377	3.800148134781921	nil	nil	nil
1	275.3852134661147	3.8000293171835438	nil	nil	nil
3	283.4487575760995	3.8000350254324076	nil	nil	nil
1	291.51229719888306	3.8000610042818153	nil	nil	nil
4	299.57583120364234	3.800047073506903	nil	nil	nil
1	305.64015014981123	3.8000162405405717	nil	nil	nil
2	311.7044482178644	3.800020974356812	nil	nil	nil
1	315.769536478434	3.8000935184454647	nil	nil	nil
2	323.8330689102677	3.8000051007329603	nil	nil	nil
4	329.8973967797119	3.80005043590063	nil	nil	nil
3	333.9624907665766	3.8000901169543795	nil	nil	nil
2	338.0275572317396	3.800026676592097	nil	nil	nil
1	346.09110052969754	3.8001682399690253	nil	nil	nil
2	352.1554179029399	3.800002469163701	nil	nil	nil
1	356.22051650933645	3.8001456205056456	nil	nil	nil
2	360.2855903188338	3.8001227604408996	nil	nil	nil
2	366.34991747249114	3.800050288532475	nil	nil	nil
1	372.4142193480475	3.800005488701572	nil	nil	nil
3	376.4792966853511	3.8001533407768875	nil	nil	nil
3	382.5436072676421	3.8001423934492777	nil	nil	nil
2	388.6079358618954	3.800009326280815	nil	nil	nil
3	396.67147345761896	3.800135933322963	nil	nil	nil
4	400.73679017447284	3.8001373438446535	nil	nil	nil
2	408.80008089593684	3.8000273442576145	nil	nil	nil
2	416.86362005556384	3.8001236235950273	nil	nil	nil
3	420.92872216570595	3.8001418701433067	nil	nil	nil
3	426.9930117736403	3.8001850459204434	nil	nil	nil
4	431.05811058755444	3.8001283995172344	nil	nil	nil
4	439.1216434404387	3.8000007578921213	nil	nil	nil
1	443.1867742391951	3.800139364889219	nil	nil	nil
3	449.2510445599828	3.8000365622683603	nil	nil	nil
3	457.314595972196	3.800170233946119	nil	nil	nil
4	461.3796788643649	3.800046090052092	nil	nil	nil
4	469.4432087909445	3.8000211397702515	nil	nil	nil
3	475.5075259296018	3.800080871876162	nil	nil	nil
2	483.571052767471	3.8000120691276607	nil	nil	nil
4	489.63536636328445	3.800100486840165	nil	nil	nil
1	493.7004682268116	3.8001591272213773	nil	nil	nil
4	497.76555067086247	3.800179136168481	nil	nil	nil
4	503.82986256442655	3.8001746970867316	nil	nil	nil
1	511.8933841541948	3.800102288337257	nil	nil	nil
3	515.9584792899277	3.800028093128276	nil	nil	nil
4	524.0220146240054	3.8001715993550533	nil	nil	nil
1	530.0863319792034	3.8001037529929818	nil	nil	nil
2	534.1514277735796	3.8000654884754113	nil	nil	nil
1	538.2165085063589	3.8001278040310353	nil	nil	nil
1	544.2808082856836	3.8001809256356864	nil	nil	nil
2	548.345915971745	3.8001301709391555	nil	nil	nil
1	552.4110011947323	3.800138270156822	nil	nil	nil
4	558.4753143815251	3.8001556475355756	nil	nil	nil
2	564.5396175292572	3.8000016481146304	nil	nil	nil
1	572.603152860328	3.8000841199846036	nil	nil	nil
2	578.6674599990229	3.8001655001298786	nil	nil	nil
1	582.7325899556772	3.800174399343632	nil	nil	nil
2	588.7968815636032	3.8001578640678417	nil	nil	nil
2	594.8611885068103	3.8000827064561236	nil	nil	nil
3	598.9262733568676	3.800160035488261	nil	nil	nil
1	602.9913610249587	3.8001516174754215	nil	nil	nil
3	609.0556743621264	3.8001443723896955	nil	nil	nil
2	613.1207504062013	3.800021897662191	nil	nil	nil
2	621.1843047958464	3.8001007274415315	nil	nil	nil
3	625.249390484998	3.80002193375185	nil	nil	nil
4	629.3144805771408	3.800164188855888	nil	nil	nil
3	635.3787820075868	3.8001405919530953	nil	nil	nil
3	643.4423077627525	3.8000327036370436	nil	nil	nil
2	647.507597529333	3.8000780688789746	nil	nil	nil
3	651.5724865305019	3.800140252104029	nil	nil	nil
4	659.6360388359444	3.800092793636395	nil	nil	nil
4	667.6995719564966	3.800041708113895	nil	nil	nil
2	671.7646524095771	3.8001111785297326	nil	nil	nil
3	677.828977818881	3.800170209886346	nil	nil	nil
4	683.8932848974255	3.800043882541104	nil	nil	nil
3	691.9568211908982	3.800091831233658	nil	nil	nil
3	700.0203666602756	3.8000018947295757	nil	nil	nil
4	708.0838900695862	3.8001273168147236	nil	nil	nil
1	712.1489696384597	3.800118895794185	nil	nil	nil
4	720.2125176070767	3.8000101924426417	nil	nil	nil
