non_decision,subj_idx
0.210712855769,18438
0.0205354265385,18695
0.000416880897436,19719
0.000789769230769,20372
8.1158974359e-06,20890
0.57579974359,19615
0.393111106282,21280
0.000463841025641,20129
0.397166579615,20897
0.321221912949,19109
6.94756410256e-06,20541
0.406311122308,21586
0.0201603698718,19156
0.196612809744,21076
3.79999336705,21466
0.0734934646154,18910
0.00829015692308,21601
0.454625713974,21219
0.00879425269231,20709
0.379709479231,20069
0.589826165769,19566
0.000766146538462,20731
0.274478037821,19581
0.255660282051,18942
